ID,tsne_1,tsne_2
119858,-32.519234,49.47418
33616,18.953827,4.522903
145422,-16.106195,19.52165
91980,61.56992,-1.0239778
111704,19.102144,-63.61983
28435,13.492827,-36.212666
81967,-14.746896,14.905717
90422,89.76004,-0.3470477
11471,63.667397,-1.551548
120552,-38.214027,-50.098454
74561,31.934929,-8.749156
20514,57.456253,-9.571866
49273,40.45801,32.071793
140952,26.470543,49.99385
11688,57.732296,-19.86156
139034,-16.085241,64.10757
104339,38.924778,-15.8860235
52373,27.10079,-14.3409605
34608,-30.592035,43.10582
190442,-27.580378,-16.302256
162894,51.43162,-19.630575
167847,45.169697,9.227213
146070,12.817623,-4.3651104
101623,-41.902294,29.3133
105645,4.0684147,81.36024
175103,5.8669467,-35.796707
125609,41.66084,7.7222056
82043,-24.502905,-23.440039
134107,21.872229,6.084677
165013,-41.53725,25.708153
68817,-27.588848,-17.92562
34907,-26.426523,-77.904076
106005,-5.6139464,-23.387701
92458,32.733315,0.123323254
138974,12.295499,-37.587234
146413,50.287327,9.951635
6054,3.6322007,-35.64128
36755,4.000934,81.68307
122631,7.431284,-33.12823
69085,-17.75633,-54.39724
184628,53.30357,-7.537568
186193,33.467007,-10.53891
23994,62.668324,-27.632542
39434,13.194391,-3.9389756
3382,-51.326496,-5.4312506
179375,-0.5927733,-26.535967
157273,-50.171078,19.62255
118860,22.272387,44.058685
140955,-68.83118,4.1333528
34794,24.60128,-31.568937
120285,-2.1560848,43.382557
125603,-6.5276065,9.085013
42613,-7.1453676,51.63402
192908,2.7196617,82.218216
130418,39.59093,-0.3490816
197360,61.1392,9.786522
78606,39.62144,35.299164
150222,16.37989,-22.276962
53261,14.065806,-64.47182
7801,1.596911,-34.026073
154860,-9.044195,-73.32063
67149,71.64473,-29.102957
140175,17.167881,-63.93195
58394,-52.494373,3.1636865
53772,-32.118443,52.470646
148582,10.353615,-38.227264
163941,-28.113356,42.94029
154002,-29.07486,45.083504
57981,80.34193,6.5624437
150057,13.140374,24.905128
8415,10.925457,47.553993
76233,-49.113197,33.577545
65210,90.30142,-4.1227736
273,-16.1495,-76.41825
32500,42.892815,-13.977366
50898,-33.139786,54.147064
138381,-28.048098,-9.756714
141361,-32.39437,54.124775
194106,41.395542,7.5584
4560,5.86342,43.082096
33201,1.9327022,41.688816
125515,-58.96185,-52.950512
115251,85.72776,4.391664
1999,41.16511,14.497153
200799,85.80668,21.560339
177149,58.226475,-27.172682
184139,53.269882,7.1929145
154883,-68.16065,5.786975
133112,42.780308,1.0476316
132972,85.63284,20.255493
87568,17.85722,-37.920403
114112,15.956495,-36.49097
184693,29.725256,28.426865
120366,32.972836,-42.49434
111620,-51.093006,-47.20501
27761,23.025913,43.55703
5991,84.94234,13.19844
180711,62.435684,-26.276604
173617,7.648939,-17.996931
78436,-50.259583,-17.793167
3451,-17.577734,37.592216
130326,26.316145,55.15068
149375,48.763187,-32.754616
40601,-53.94863,-17.028097
121180,11.527634,-18.206985
168863,-26.733887,-18.189943
35638,-49.038788,-2.4681106
142465,-51.097298,9.671914
196505,-20.278004,-51.89168
82651,12.338631,47.452354
122434,24.303415,49.246296
28958,23.588314,39.524822
87429,-23.221457,-54.66365
5002,-48.719746,-12.914446
15121,-65.42253,1.3351578
25048,23.13517,26.76936
126111,8.59934,-38.695583
196472,24.63433,49.862053
69262,-52.57761,-40.552208
60052,-15.335555,18.993237
3227,32.102512,-43.82565
159916,33.239574,-43.57816
2379,1.1976651,-27.331306
75410,72.0533,-27.53436
148450,-47.677086,-11.542196
93750,-48.368393,-11.618506
25183,-3.6553326,-17.042604
66659,-23.661764,-23.907883
123392,-22.239965,-49.51346
6098,38.831696,-16.187168
111037,-8.121543,4.782574
191616,54.49512,27.49895
185597,54.961243,-12.349892
182132,-49.040356,34.909637
113256,19.074568,11.913821
125519,94.27602,-3.8776946
4032,-0.8231949,-28.51031
4190,-80.62532,-20.033714
87135,40.724625,13.115926
55969,-7.09556,-71.63101
144979,-30.87711,49.849674
53742,23.07606,-36.33787
9197,12.489042,-36.390007
163735,-42.27666,6.8400064
195602,47.017323,28.115309
46942,19.10362,-66.22604
82262,61.15861,-30.893959
88041,4.732661,63.82597
67463,71.15171,-29.02326
24179,-35.557526,-5.546392
144850,9.530057,45.04892
4298,-50.228386,1.9110137
36799,18.484953,8.253522
159760,32.95255,-8.588702
121374,-48.334763,9.341157
44351,-16.321478,-55.09492
17308,-62.352997,35.427906
55312,-27.951021,-9.648269
28019,43.71209,51.49691
165786,-47.780323,5.859924
42253,-8.156569,-4.939317
88420,-60.45357,-52.17468
13845,85.01792,12.724875
104675,38.069393,-14.899317
138689,-5.9943733,-19.794043
199343,-3.878275,39.371193
33929,-2.4735618,-28.607061
112348,-8.053863,3.6241376
175875,-27.402258,-51.037506
196147,-18.1784,37.19862
84440,-7.1274014,-3.459928
192530,-51.691757,2.6498425
97387,62.444023,-26.103573
37140,-74.93534,14.062006
83146,-80.30822,-16.200638
167876,19.280508,9.805408
176189,-14.482139,13.502394
35800,-47.773987,9.8996525
72214,28.75093,-39.37351
130242,-58.46006,-53.33858
116018,15.5831995,-6.2413526
175114,-5.1198897,-28.237143
40744,85.738625,13.253001
181915,-5.6013145,-70.12639
56528,61.3343,1.4030547
196053,-62.552498,-2.5773246
157498,13.541393,-7.5109773
93208,-28.133665,42.23378
177999,60.222954,31.521345
116223,16.379843,23.47289
189291,89.821724,0.1379694
160629,-20.682533,-55.196114
32229,-64.078674,-0.34187853
77651,-9.632394,47.051548
168726,60.37721,31.727129
11417,-7.489831,4.3669734
43343,25.33814,35.137554
22498,22.892126,-36.53275
9758,17.046494,-64.204704
128576,11.286682,-18.297215
25527,-41.434536,25.66129
197558,-7.1564302,-5.563023
183536,35.846897,-4.581094
31140,35.46835,32.069843
164866,19.640465,-65.006935
101896,-1.6290228,-27.169792
31259,2.2507591,-30.448301
160706,44.229458,51.886574
